Date,Account,Category,Note,Income/Expense,Amount,Type
12/16/2021 10:42,CUB - online payment,Food,Milk with bharath,Expense,110.0,Expense
12/14/2021 23:54,CUB - online payment,Food,Lunch,Expense,40.0,Expense
12/14/2021 21:21,CUB - online payment,Food,Snacks,Expense,75.0,Expense
12/14/2021 21:03,CUB - online payment,Food,Panipoori,Expense,80.0,Expense
12/14/2021 15:18,CUB - online payment,Food,Snacks,Expense,74.0,Expense
12/14/2021 10:33,CUB - online payment,Food,Milk with bharath,Expense,65.0,Expense
12/12/2021 21:47,CUB - online payment,Food,Milk with bharath,Expense,25.0,Expense
12/11/2021 9:22,CUB - online payment,Allowance,From dad,Income,1000.0,Expense
12/11/2021 8:20,CUB - online payment,Other,From stu,Income,240.0,Expense
12/10/2021 21:38,CUB - online payment,Food,Shopping,Expense,241.0,Expense
12/10/2021 20:55,CUB - online payment,Food,Momos,Expense,195.0,Expense
12/9/2021 20:03,CUB - online payment,Food,Snack with bharath,Expense,40.0,Expense
12/9/2021 14:01,CUB - online payment,Food,Lunch with company,Expense,280.0,Expense
12/9/2021 9:56,CUB - online payment,Food,Milk with bharath,Expense,25.0,Expense
12/9/2021 8:47,CUB - online payment,Food,Breakfast with stu,Expense,110.0,Expense
12/8/2021 14:15,CUB - online payment,Food,Lunch with stu,Expense,100.0,Expense
12/8/2021 14:15,Cash,Food,5 star,Expense,15.0,Expense
12/8/2021 7:17,CUB - online payment,Food,Milk,Expense,10.0,Expense
12/7/2021 9:54,CUB - online payment,Food,Milk with bharath,Expense,25.0,Expense
12/7/2021 7:59,CUB - online payment,Food,Horlicks,Expense,15.0,Expense
12/6/2021 21:59,CUB - online payment,Food,Milk with bharath,Expense,25.0,Expense
12/6/2021 20:07,CUB - online payment,Apparel,Shoe,Expense,500.0,Expense
12/6/2021 19:57,CUB - online payment,Apparel,Cap,Expense,140.0,Expense
12/6/2021 14:08,CUB - online payment,Food,Lunch with stu,Expense,150.0,Expense
